table_schema	table_name	column_name	data_type
business	aicm_manager_major_work_item	aicm_manager_major_work_item_id	uuid
business	aicm_manager_major_work_item	owner_civilization_id	uuid
business	aicm_manager_major_work_item	aicm_user_company_id	uuid
business	aicm_manager_major_work_item	aicm_president_policy_id	uuid
business	aicm_manager_major_work_item	aicm_user_company_department_id	uuid
business	aicm_manager_major_work_item	aicm_user_company_section_id	uuid
business	aicm_manager_major_work_item	major_item_name	text
business	aicm_manager_major_work_item	major_item_description	text
business	aicm_manager_major_work_item	source_route_code	text
business	aicm_manager_major_work_item	manager_robot_label	text
business	aicm_manager_major_work_item	assigned_leader_label	text
business	aicm_manager_major_work_item	decomposition_status_code	text
business	aicm_manager_major_work_item	handoff_status_code	text
business	aicm_manager_major_work_item	priority_code	text
business	aicm_manager_major_work_item	due_date	date
business	aicm_manager_major_work_item	reference_files_text	text
business	aicm_manager_major_work_item	supplemental_materials_text	text
business	aicm_manager_major_work_item	applicable_rules_text	text
business	aicm_manager_major_work_item	note	text
business	aicm_manager_major_work_item	handoff_link	text
business	aicm_manager_major_work_item	display_order	integer
business	aicm_manager_major_work_item	metadata_jsonb	jsonb
business	aicm_manager_major_work_item	created_at	timestamp with time zone
business	aicm_manager_major_work_item	updated_at	timestamp with time zone
business	vw_aicm_pmlw_deliverable_requirement_display	aicm_leader_deliverable_requirement_id	uuid
business	vw_aicm_pmlw_deliverable_requirement_display	owner_civilization_id	uuid
business	vw_aicm_pmlw_deliverable_requirement_display	aicm_user_company_id	uuid
business	vw_aicm_pmlw_deliverable_requirement_display	company_name	text
business	vw_aicm_pmlw_deliverable_requirement_display	aicm_leader_middle_work_item_id	uuid
business	vw_aicm_pmlw_deliverable_requirement_display	middle_item_name	text
business	vw_aicm_pmlw_deliverable_requirement_display	aicm_manager_major_work_item_id	uuid
business	vw_aicm_pmlw_deliverable_requirement_display	major_item_name	text
business	vw_aicm_pmlw_deliverable_requirement_display	deliverable_name	text
business	vw_aicm_pmlw_deliverable_requirement_display	deliverable_type_code	text
business	vw_aicm_pmlw_deliverable_requirement_display	deliverable_description	text
business	vw_aicm_pmlw_deliverable_requirement_display	required_quality_text	text
business	vw_aicm_pmlw_deliverable_requirement_display	acceptance_criteria_text	text
business	vw_aicm_pmlw_deliverable_requirement_display	review_required_flag	boolean
business	vw_aicm_pmlw_deliverable_requirement_display	requirement_status_code	text
business	vw_aicm_pmlw_deliverable_requirement_display	priority_code	text
business	vw_aicm_pmlw_deliverable_requirement_display	due_date	date
business	vw_aicm_pmlw_deliverable_requirement_display	reference_files_text	text
business	vw_aicm_pmlw_deliverable_requirement_display	supplemental_materials_text	text
business	vw_aicm_pmlw_deliverable_requirement_display	applicable_rules_text	text
business	vw_aicm_pmlw_deliverable_requirement_display	note	text
business	vw_aicm_pmlw_deliverable_requirement_display	handoff_link	text
business	vw_aicm_pmlw_deliverable_requirement_display	display_order	integer
business	vw_aicm_pmlw_deliverable_requirement_display	metadata_jsonb	jsonb
business	vw_aicm_pmlw_deliverable_requirement_display	created_at	timestamp with time zone
business	vw_aicm_pmlw_deliverable_requirement_display	updated_at	timestamp with time zone
business	vw_aicm_pmlw_leader_middle_display	aicm_leader_middle_work_item_id	uuid
business	vw_aicm_pmlw_leader_middle_display	owner_civilization_id	uuid
business	vw_aicm_pmlw_leader_middle_display	aicm_user_company_id	uuid
business	vw_aicm_pmlw_leader_middle_display	company_name	text
business	vw_aicm_pmlw_leader_middle_display	aicm_manager_major_work_item_id	uuid
business	vw_aicm_pmlw_leader_middle_display	major_item_name	text
business	vw_aicm_pmlw_leader_middle_display	aicm_user_company_department_id	uuid
business	vw_aicm_pmlw_leader_middle_display	department_name	text
business	vw_aicm_pmlw_leader_middle_display	aicm_user_company_section_id	uuid
business	vw_aicm_pmlw_leader_middle_display	section_name	text
business	vw_aicm_pmlw_leader_middle_display	middle_item_name	text
business	vw_aicm_pmlw_leader_middle_display	middle_item_description	text
business	vw_aicm_pmlw_leader_middle_display	leader_robot_label	text
business	vw_aicm_pmlw_leader_middle_display	breakdown_status_code	text
business	vw_aicm_pmlw_leader_middle_display	handoff_status_code	text
business	vw_aicm_pmlw_leader_middle_display	priority_code	text
business	vw_aicm_pmlw_leader_middle_display	due_date	date
business	vw_aicm_pmlw_leader_middle_display	reference_files_text	text
business	vw_aicm_pmlw_leader_middle_display	supplemental_materials_text	text
business	vw_aicm_pmlw_leader_middle_display	applicable_rules_text	text
business	vw_aicm_pmlw_leader_middle_display	note	text
business	vw_aicm_pmlw_leader_middle_display	handoff_link	text
business	vw_aicm_pmlw_leader_middle_display	display_order	integer
business	vw_aicm_pmlw_leader_middle_display	metadata_jsonb	jsonb
business	vw_aicm_pmlw_leader_middle_display	created_at	timestamp with time zone
business	vw_aicm_pmlw_leader_middle_display	updated_at	timestamp with time zone
business	vw_aicm_pmlw_major_work_display	aicm_manager_major_work_item_id	uuid
business	vw_aicm_pmlw_major_work_display	owner_civilization_id	uuid
business	vw_aicm_pmlw_major_work_display	aicm_user_company_id	uuid
business	vw_aicm_pmlw_major_work_display	company_name	text
business	vw_aicm_pmlw_major_work_display	aicm_president_policy_id	uuid
business	vw_aicm_pmlw_major_work_display	policy_title	text
business	vw_aicm_pmlw_major_work_display	policy_status_code	text
business	vw_aicm_pmlw_major_work_display	aicm_user_company_department_id	uuid
business	vw_aicm_pmlw_major_work_display	department_name	text
business	vw_aicm_pmlw_major_work_display	aicm_user_company_section_id	uuid
business	vw_aicm_pmlw_major_work_display	section_name	text
business	vw_aicm_pmlw_major_work_display	major_item_name	text
business	vw_aicm_pmlw_major_work_display	major_item_description	text
business	vw_aicm_pmlw_major_work_display	source_route_code	text
business	vw_aicm_pmlw_major_work_display	manager_robot_label	text
business	vw_aicm_pmlw_major_work_display	assigned_leader_label	text
business	vw_aicm_pmlw_major_work_display	decomposition_status_code	text
